,Database Accession,Database,Gene Symbol,Disease,Variant Type,Pathogenicity,Review Status,Star Level,Submitter,HGVS Normalization Failure Reason,Duplicated
344,RCV000051444,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,GeneDx,Compound Variant,0
345,RCV000133707,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
346,RCV000133859,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
347,RCV000135615,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
348,RCV000135691,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
349,RCV000136106,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
350,RCV000136874,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Benign,no assertion criteria provided,0,ISCA site 8,Compound Variant,0
351,RCV000136941,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
352,RCV000137377,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
353,RCV000139655,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
354,RCV000140089,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,GeneDx,Compound Variant,0
355,RCV000140772,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 6,Compound Variant,0
356,RCV000142303,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
357,RCV000142589,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
358,RCV000143203,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
359,RCV000143487,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
360,RCV000143708,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
389,RCV001031919,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
390,RCV000050935,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,ISCA site 4,Compound Variant,0
391,RCV000051098,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,ISCA site 4,Compound Variant,0
392,RCV000051371,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,GeneDx,Compound Variant,0
393,RCV000051407,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,ISCA site 6,Compound Variant,0
394,RCV000051408,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,ISCA site 6,Compound Variant,0
395,RCV000051409,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",Compound Variant,0
396,RCV000051410,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,ISCA site 6,Compound Variant,0
397,RCV000051411,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,ISCA site 6,Compound Variant,0
398,RCV000051686,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,"criteria provided, single submitter",1,ISCA site 6,Compound Variant,0
399,RCV000051687,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,"criteria provided, single submitter",1,ISCA site 6,Compound Variant,0
400,RCV000051689,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,"criteria provided, single submitter",1,ISCA site 6,Compound Variant,0
401,RCV000133865,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
402,RCV000134513,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 6,Compound Variant,0
403,RCV000135444,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 17,Compound Variant,0
404,RCV000136124,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Benign,no assertion criteria provided,0,ISCA site 8,Compound Variant,0
405,RCV000136573,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
406,RCV000136894,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
407,RCV000136921,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
408,RCV000137136,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
409,RCV000140901,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
410,RCV000141415,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 6,Compound Variant,0
411,RCV000141659,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
412,RCV000142755,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
433,RCV000051682,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,"criteria provided, single submitter",1,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",Compound Variant,0
434,RCV000051684,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,"criteria provided, single submitter",1,ISCA site 6,Compound Variant,0
438,RCV000133646,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,"Multiple Submitters: ISCA site 1, ISCA site 4",Compound Variant,0
439,RCV000134730,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
449,RCV000631450,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
11,578462:2917,Global_Variome,ARSA,Metachromatic Leukodystrophy,Deletion,-,-,-,Johan den Dunnen,Compound Variant,0
10,79353:2917,Global_Variome,ARSA,Metachromatic Leukodystrophy,Deletion,-,-,-,Johan den Dunnen,Incorrect reference base,0
12,578788:2917,Global_Variome,ARSA,Metachromatic Leukodystrophy,single nucleotide variant,-,-,-,Alessandra Biffi,Incorrect reference base,0
13,578647:2917,Global_Variome,ARSA,Metachromatic Leukodystrophy,single nucleotide variant,-,-,-,Alessandra Biffi,Incorrect reference base,0
73,438946:11758,BIPmed_SNPhg19,ARSA,Metachromatic Leukodystrophy,single nucleotide variant,-,-,-,Admin,Incorrect reference base,0
14,578935:2917,Global_Variome,ARSA,Metachromatic Leukodystrophy,Indel,-,-,-,Alessandra Biffi,Inserted unknown sequence,0
437,RCV000003232,ClinVar,ARSA,Metachromatic Leukodystrophy,Microsatellite,Pathogenic,no assertion criteria provided,0,OMIM,Microsatellite,0
443,RCV000269167,ClinVar,ARSA,Metachromatic Leukodystrophy,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,"Illumina Clinical Services Laboratory,Illumina",Microsatellite,0
444,RCV000410209,ClinVar,ARSA,Metachromatic Leukodystrophy,Microsatellite,Likely pathogenic,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: Counsyl, Integrated Genetics/Laboratory Corporation of America",Microsatellite,0
450,RCV000674033,ClinVar,ARSA,Metachromatic Leukodystrophy,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
456,RCV001250461,ClinVar,ARSA,Metachromatic Leukodystrophy,Microsatellite,Pathogenic,"criteria provided, single submitter",1,"Amsterdam Leukodystrophy Center,Amsterdam UMC",Microsatellite,0
457,RCV000078934,ClinVar,ARSA,Metachromatic Leukodystrophy,Microsatellite,Pathogenic,"criteria provided, single submitter",1,"EGL Genetic Diagnostics, Eurofins Clinical Diagnostics",Microsatellite,0
331,RCV000003222,ClinVar,ARSA,Metachromatic Leukodystrophy,single nucleotide variant,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
332,RCV000003225,ClinVar,ARSA,Metachromatic Leukodystrophy,single nucleotide variant,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
333,RCV000003200,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
334,RCV000003201,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
335,RCV000684461,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
336,RCV000742123,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Likely pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
337,RCV001007196,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
361,RCV000208731,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Human Genome and Stem Cell Research Center,Department of Genetics and Evolutionary Biology, Institute of Biosciences, University of São Paulo",No variant information provided,0
362,RCV000240423,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
363,RCV000446928,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
364,RCV000447242,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Likely benign,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
365,RCV000447418,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Likely benign,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
366,RCV000447857,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
367,RCV000449123,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Likely benign,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
368,RCV000449140,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
369,RCV000510342,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
370,RCV000511340,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
371,RCV000511797,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
372,RCV000511993,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
373,RCV000512145,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
374,RCV000684479,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
375,RCV000684487,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
376,RCV000684488,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
377,RCV000684522,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
378,RCV000684523,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
379,RCV000742061,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
380,RCV000742062,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
381,RCV000742071,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
382,RCV000742097,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
383,RCV000767671,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,Baylor Genetics,No variant information provided,0
384,RCV000846659,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
385,RCV001007194,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
386,RCV001007506,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
387,RCV001007507,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
388,RCV001007508,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
413,RCV000240459,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
414,RCV000510351,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
415,RCV000510765,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
416,RCV000511015,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
417,RCV000511220,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
418,RCV000511256,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
419,RCV000512121,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
420,RCV000684524,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
421,RCV000684525,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
422,RCV000684526,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
423,RCV000684527,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
424,RCV000684528,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
425,RCV000684529,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
426,RCV000741989,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
427,RCV000767745,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,Baylor Genetics,No variant information provided,0
428,RCV000767746,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,Baylor Genetics,No variant information provided,0
429,RCV000849204,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
430,RCV001007502,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
431,RCV001258791,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
432,RCV001258793,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
435,RCV000240469,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
436,RCV000003211,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
440,RCV000208718,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Human Genome and Stem Cell Research Center,Department of Genetics and Evolutionary Biology, Institute of Biosciences, University of São Paulo",No variant information provided,0
441,RCV000208741,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Human Genome and Stem Cell Research Center,Department of Genetics and Evolutionary Biology, Institute of Biosciences, University of São Paulo",No variant information provided,0
442,RCV000240091,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
445,RCV000446956,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
446,RCV000448847,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
447,RCV000510873,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
448,RCV000512333,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
451,RCV000741689,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
452,RCV000741691,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
453,RCV000741692,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
454,RCV000846344,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
455,RCV001007181,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
458,RCV001254355,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
459,RCV001254356,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
460,RCV001254357,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
461,RCV001254358,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
462,RCV001254359,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
463,RCV001254360,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
464,RCV001254361,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
465,RCV001254362,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
466,RCV001254363,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
467,RCV001254364,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
468,RCV001254365,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
469,RCV001254366,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
470,RCV001254367,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
471,RCV001254368,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
472,RCV001254369,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
473,RCV001254370,ClinVar,ARSA,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,"Greenwood Genetic Center Diagnostic Laboratories,Greenwood Genetic Center",No variant information provided,0
474,RCV001263056,ClinVar,ARSA,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,"HudsonAlpha Institute for Biotechnology, HudsonAlpha Institute for Biotechnology",No variant information provided,0
476,RCV001032659,ClinVar,PSAP,Metachromatic Leukodystrophy,Duplication,Likely pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
482,RCV000052511,ClinVar,PSAP,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,GeneDx,Compound Variant,0
483,RCV000052530,ClinVar,PSAP,Metachromatic Leukodystrophy,copy number loss,Pathogenic,"criteria provided, single submitter",1,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",Compound Variant,0
484,RCV000134848,ClinVar,PSAP,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
485,RCV000135438,ClinVar,PSAP,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 17,Compound Variant,0
486,RCV000136658,ClinVar,PSAP,Metachromatic Leukodystrophy,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
487,RCV000138007,ClinVar,PSAP,Metachromatic Leukodystrophy,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
74,560088:1300,BIPmed_SNPhg19,PSAP,Metachromatic Leukodystrophy,single nucleotide variant,-,-,-,Admin,Incorrect reference base,0
9,66776:16989,Global_Variome,PSAP,Metachromatic Leukodystrophy,Insertion,-,-,-,Mirella Filocamo,Inserted unknown sequence,0
479,RCV000014304,ClinVar,PSAP,Metachromatic Leukodystrophy,Microsatellite,Pathogenic,no assertion criteria provided,0,OMIM,Microsatellite,0
480,RCV001090814,ClinVar,PSAP,Metachromatic Leukodystrophy,Microsatellite,Pathogenic,"criteria provided, single submitter",1,CeGaT Praxis fuer Humangenetik Tuebingen,Microsatellite,0
475,RCV000014290,ClinVar,PSAP,Metachromatic Leukodystrophy,single nucleotide variant,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
477,RCV000014297,ClinVar,PSAP,Metachromatic Leukodystrophy,Deletion,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
478,RCV000840527,ClinVar,PSAP,Metachromatic Leukodystrophy,Deletion,Benign,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
